52.502,11.9,0
35.9402,11.6,0
41.1669,9.1,0
34.2725,7.4,0
32.4327,8.9,0
46.3077,11.2,0
42.471,10.6,0
49.9514,12.5,0
58.4115,14.8,1
45.6145,6.9,0
33.6655,8.2,0
40.9873,8,0
64.0255,2.8,0
38.659,9.1,0
34.5188,5.2,0
44.9516,13.6,0
91.864,6.4,0
35.172,8.5,0
29.9203,6.9,0
32.0585,8.4,0
43.0631,10.9,0
40.382,11.2,0
36.729,10.5,0
56.5145,13.7,0
53.486,14.3,0
50.417,10.8,0
49.0207,13.8,1
76.7763,8.9,0
29.5344,7.7,0
69.0447,5.6,0
48.7855,8.2,0
34.6437,8.1,0
69.8225,2.3,0
33.16,6.2,0
37.0229,9.8,0
25.8779,5,0
37.781,7.9,0
44.4012,12.6,0
37.4765,8.7,0
46.6818,9.5,0
67.9545,7.5,0
44.272,6.5,0
47.9851,10.7,0
48.173,12.6,0
91.0478,12.9,0
39.5068,13.4,0
38.0625,10.7,0
39.7155,10.2,0
45.3573,10,0
46.153,13.3,0
52.7109,12.5,0
57.1136,15.4,1
36.1311,11,0
30.8406,3.9,0
40.1782,10.7,0
43.725,7.4,0
38.3,8.5,0
37.299,7.2,0
77.886,7.4,0
32.6415,7.5,0
28.492,3.8,0
37.7762,7.1,0
81.8064,8.7,0
44.386,10.1,0
42.9935,9.8,0
42.273,10.9,0
35.9492,9.4,0
46.3975,11,0
79.745,11.4,0
48.2555,10.3,0
42.0172,10.9,0
37.425,13.2,0
54.3205,12.5,0
53.368,14,0
54.2181,15.1,1
38.7392,8.6,0
26.9669,5.3,0
37.769,7.9,0
41.7112,10.8,0
42.0725,9,0
47.7051,9.5,0
51.1923,9.3,0
38.2602,12.7,0
41.5935,14.6,0
43.7735,10.1,0
82.8632,9.1,0
40.3462,8.9,0
57.93,10.2,0
35.3045,12.1,0
52.9455,13.6,1
35.6625,7.6,0
74.9335,7.5,0
35.7875,6.2,0
30.2219,6,0
39.0718,7.6,0
45.3081,8.3,0
39.0296,9.6,0
44.4441,5.4,0
28.3845,5.5,0
45.9086,8.7,0
83.541,10.2,0
41.1277,8.9,0
39.8398,10.2,0
45.9303,6.2,0
53.137,11.2,0
38.2264,11.2,0
43.6088,7.1,0
84.4038,14,0
42.8525,10.7,0
44.535,11.2,0
47.9843,11.9,0
52.5829,12.7,0
57.7893,15.7,1
30.6225,6.7,0
41.1446,6.8,0
39.5343,12.8,0
43.5475,8.6,0
40.223,9.8,0
41.5328,11,0
34.5375,9.5,0
37.419,7.4,0
